2016-09-25, Dash, Reign, 2, 3, vs, TRUE
2016-09-25, Sky Blue, Thorns, 1, 3, vs, TRUE
2016-09-30, Spirit, Red Stars, 2, 1, vs, FALSE
2016-10-02, Thorns, Flash, 3, 4, vs, FALSE
2016-10-09, Spirit, Flash, 2, 2, N, FALSE
2017-04-15, Dash, Red Stars, 2, 0, vs, TRUE
2017-04-15, Reign, Sky Blue, 1, 1, vs, TRUE
2017-04-15, Spirit, Courage, 0, 1, vs, TRUE
2017-04-15, Thorns, Pride, 2, 0, vs, TRUE
2017-04-16, Kansas City, Boston, 2, 0, vs, TRUE
2017-04-22, Courage, Thorns, 1, 0, vs, TRUE
2017-04-22, Pride, Spirit, 1, 1, vs, TRUE
2017-04-22, Red Stars, Kansas City, 1, 0, vs, TRUE
2017-04-22, Reign, Dash, 5, 1, vs, TRUE
2017-04-23, Boston, Sky Blue, 1, 0, vs, TRUE
2017-04-29, Boston, Reign, 3, 0, vs, TRUE
2017-04-29, Courage, Pride, 3, 1, vs, TRUE
2017-04-29, Spirit, Dash, 0, 1, vs, TRUE
2017-04-29, Thorns, Red Stars, 1, 0, vs, TRUE
2017-04-30, Sky Blue, Kansas City, 1, 0, vs, TRUE
2017-05-06, Red Stars, Dash, 2, 0, vs, TRUE
2017-05-06, Spirit, Sky Blue, 4, 3, vs, TRUE
2017-05-06, Thorns, Reign, 2, 2, vs, TRUE
2017-05-07, Boston, Courage, 0, 1, vs, TRUE
2017-05-07, Kansas City, Pride, 1, 1, vs, TRUE
2017-05-13, Dash, Sky Blue, 1, 3, vs, TRUE
2017-05-13, Kansas City, Thorns, 0, 0, vs, TRUE
2017-05-13, Reign, Spirit, 6, 2, vs, TRUE
2017-05-14, Pride, Courage, 3, 1, vs, TRUE
2017-05-14, Red Stars, Boston, 1, 1, vs, TRUE
2017-05-19, Boston, Thorns, 2, 2, vs, TRUE
2017-05-20, Sky Blue, Dash, 2, 1, vs, TRUE
2017-05-20, Spirit, Kansas City, 0, 1, vs, TRUE
2017-05-21, Courage, Red Stars, 1, 3, vs, TRUE
2017-05-21, Reign, Pride, 1, 1, vs, TRUE
2017-05-24, Courage, Sky Blue, 2, 0, vs, TRUE
2017-05-27, Dash, Reign, 0, 2, vs, TRUE
2017-05-27, Kansas City, Spirit, 3, 2, vs, TRUE
2017-05-27, Red Stars, Courage, 3, 2, vs, TRUE
2017-05-27, Sky Blue, Pride, 2, 1, vs, TRUE
2017-05-27, Thorns, Boston, 2, 0, vs, TRUE
2017-06-03, Courage, Kansas City, 2, 0, vs, TRUE
2017-06-03, Pride, Boston, 2, 0, vs, TRUE
2017-06-03, Sky Blue, Thorns, 0, 2, vs, TRUE
2017-06-03, Spirit, Dash, 2, 0, vs, TRUE
2017-06-04, Red Stars, Reign, 1, 0, vs, TRUE
2017-06-17, Courage, Boston, 3, 1, vs, TRUE
2017-06-17, Dash, Pride, 2, 4, vs, TRUE
2017-06-17, Kansas City, Reign, 2, 2, vs, TRUE
2017-06-17, Red Stars, Spirit, 1, 1, vs, TRUE
2017-06-17, Thorns, Sky Blue, 1, 3, vs, TRUE
2017-06-24, Boston, Courage, 0, 1, vs, TRUE
2017-06-24, Pride, Dash, 0, 2, vs, TRUE
2017-06-24, Reign, Kansas City, 1, 1, vs, TRUE
2017-06-24, Spirit, Thorns, 1, 0, vs, TRUE
2017-06-25, Red Stars, Sky Blue, 2, 1, vs, TRUE
2017-06-28, Dash, Boston, 0, 0, vs, TRUE
2017-06-28, Reign, Red Stars, 2, 1, vs, TRUE
