1999-07-16, Cleveland Rockers, Sacramento Monarchs, 71, 85, vs
1999-07-16, Orlando Miracle, Charlotte Sting, 50, 56, vs
1999-07-16, Utah Starzz, Houston Comets, 84, 88, vs
1999-07-16, Washington Mystics, Detroit Shock, 68, 78, vs
1999-07-17, Charlotte Sting, Washington Mystics, 63, 56, vs
1999-07-17, Detroit Shock, Cleveland Rockers, 77, 61, vs
1999-07-17, Minnesota Lynx, New York Liberty, 60, 58, vs
1999-07-17, Orlando Miracle, Sacramento Monarchs, 70, 76, vs
1999-07-17, Phoenix Mercury, Los Angeles Sparks, 84, 76, vs
1999-07-18, Los Angeles Sparks, Houston Comets, 78, 65, vs
1999-07-18, New York Liberty, Utah Starzz, 88, 82, vs
1999-07-19, Charlotte Sting, Utah Starzz, 73, 66, vs
1999-07-19, Minnesota Lynx, Sacramento Monarchs, 76, 69, vs
1999-07-19, Phoenix Mercury, Houston Comets, 60, 48, vs
1999-07-19, Washington Mystics, Orlando Miracle, 52, 77, vs
1999-07-20, New York Liberty, Orlando Miracle, 61, 56, vs
1999-07-21, Charlotte Sting, Minnesota Lynx, 67, 76, vs
1999-07-21, Detroit Shock, Utah Starzz, 86, 77, vs
1999-07-21, Los Angeles Sparks, Phoenix Mercury, 84, 63, vs
1999-07-21, Washington Mystics, Cleveland Rockers, 68, 85, vs
1999-07-22, Sacramento Monarchs, New York Liberty, 71, 55, vs
1999-07-23, Charlotte Sting, Houston Comets, 62, 75, vs
1999-07-23, Cleveland Rockers, Detroit Shock, 60, 69, vs
1999-07-23, Minnesota Lynx, Washington Mystics, 55, 60, vs
1999-07-23, Phoenix Mercury, Orlando Miracle, 73, 67, vs
1999-07-24, Cleveland Rockers, Utah Starzz, 70, 76, vs
1999-07-24, Los Angeles Sparks, New York Liberty, 75, 72, vs
1999-07-24, Sacramento Monarchs, Orlando Miracle, 64, 73, vs
1999-07-25, Detroit Shock, Charlotte Sting, 66, 78, vs
1999-07-25, Minnesota Lynx, Houston Comets, 57, 62, vs
1999-07-25, Phoenix Mercury, Washington Mystics, 72, 59, vs
1999-07-26, New York Liberty, Charlotte Sting, 69, 75, vs
1999-07-26, Utah Starzz, Washington Mystics, 73, 61, vs
1999-07-27, Houston Comets, Detroit Shock, 85, 46, vs
1999-07-27, Los Angeles Sparks, Orlando Miracle, 81, 60, vs
1999-07-27, Phoenix Mercury, Utah Starzz, 86, 73, vs
1999-07-27, Sacramento Monarchs, Minnesota Lynx, 59, 61, vs
1999-07-28, Charlotte Sting, Detroit Shock, 84, 65, vs
1999-07-29, Cleveland Rockers, Houston Comets, 65, 71, vs
1999-07-29, Orlando Miracle, New York Liberty, 65, 73, vs
1999-07-29, Phoenix Mercury, Minnesota Lynx, 79, 46, vs
1999-07-29, Sacramento Monarchs, Washington Mystics, 70, 54, vs
1999-07-30, Charlotte Sting, New York Liberty, 62, 58, vs
1999-07-30, Los Angeles Sparks, Utah Starzz, 87, 77, vs
1999-07-31, Detroit Shock, Cleveland Rockers, 53, 55, vs
1999-07-31, Houston Comets, Phoenix Mercury, 77, 70, vs
1999-07-31, Los Angeles Sparks, Washington Mystics, 81, 64, vs
1999-07-31, Minnesota Lynx, Charlotte Sting, 52, 56, vs
1999-07-31, Utah Starzz, Sacramento Monarchs, 63, 59, vs
1999-08-01, New York Liberty, Orlando Miracle, 74, 61, vs
1999-08-02, Charlotte Sting, Cleveland Rockers, 62, 56, vs
1999-08-02, Detroit Shock, Washington Mystics, 70, 75, vs
1999-08-02, Houston Comets, Sacramento Monarchs, 75, 70, vs
1999-08-02, Minnesota Lynx, Phoenix Mercury, 73, 56, vs
1999-08-03, Utah Starzz, New York Liberty, 59, 61, vs
